,ME_Id,EMC_Column_Name,EMU_Unit,ME_Value,EYM_YearMonth,ME_DateTimeRecord
210,389,F_O_H_total,1.00Bt,57365708.11,202411,2025-04-07 14:21:29.940
211,311,Direct_Labor,1.00Bt,13661385.79,202412,2025-04-07 14:21:30.077
212,312,Indirect_Labor,1.00Bt,8310757.63,202412,2025-04-07 14:21:30.137
213,313,Outside_Process,1.00Bt,6857487.68,202412,2025-04-07 14:21:30.193
214,314,Indirect_Materials,1.00Bt,6381501.94,202412,2025-04-07 14:21:30.227
215,315,Repair_Maint,1.00Bt,1252189.54,202412,2025-04-07 14:21:30.247
216,316,Electric_Power,1.00Bt,2104584.02,202412,2025-04-07 14:21:30.263
217,317,Depreciation,1.00Bt,7314019.74,202412,2025-04-07 14:21:30.283
218,318,Other_F_O_H,1.00Bt,4555562.20999999,202412,2025-04-07 14:21:30.300
219,319,Allocation,1.00Bt,2719242.47,202412,2025-04-07 14:21:30.320
220,320,S_Time_Utilization_min,1min,5867372.51,202412,2025-03-27 16:38:53.840
221,376,Material,1.00Bt,47451832.46,202412,2025-03-07 08:38:25.800
222,390,F_O_H_total,1.00Bt,53156731.02,202412,2025-04-07 14:21:30.337
223,321,Direct_Labor,1.00Bt,13608098.92,202501,2025-04-07 14:21:30.423
224,322,Indirect_Labor,1.00Bt,7332414.49,202501,2025-04-07 14:21:30.443
225,323,Outside_Process,1.00Bt,7797633.31,202501,2025-04-07 14:21:30.460
226,324,Indirect_Materials,1.00Bt,6427272.73,202501,2025-04-07 14:21:30.480
227,325,Repair_Maint,1.00Bt,1064053.02,202501,2025-04-07 14:21:30.500
228,326,Electric_Power,1.00Bt,2046213.53,202501,2025-04-07 14:21:30.517
229,327,Depreciation,1.00Bt,7365443.81,202501,2025-04-07 14:21:30.537
230,328,Other_F_O_H,1.00Bt,4721571.21,202501,2025-04-07 14:21:30.557
231,329,Allocation,1.00Bt,2544231.46,202501,2025-04-07 14:21:30.577
232,330,S_Time_Utilization_min,1min,5585735.03,202501,2025-03-27 16:38:54.280
233,377,Material,1.00Bt,46989080.59,202501,2025-03-07 08:38:26.373
234,391,F_O_H_total,1.00Bt,52906932.48,202501,2025-04-07 14:21:30.593
235,331,Direct_Labor,1.00Bt,13372140.48,202502,2025-04-07 14:21:30.677
236,332,Indirect_Labor,1.00Bt,7181110.12,202502,2025-04-07 14:21:30.697
237,333,Outside_Process,1.00Bt,7561177.67,202502,2025-04-07 14:21:30.713
238,334,Indirect_Materials,1.00Bt,5879252.96,202502,2025-04-07 14:21:30.733
239,335,Repair_Maint,1.00Bt,815098.89,202502,2025-04-07 14:21:30.753
240,336,Electric_Power,1.00Bt,2032073.73,202502,2025-04-07 14:21:30.770
241,337,Depreciation,1.00Bt,7384756.58,202502,2025-04-07 14:21:30.790
242,338,Other_F_O_H,1.00Bt,3823241.62,202502,2025-04-07 14:21:30.807
243,339,Allocation,1.00Bt,2530315.6,202502,2025-04-07 14:21:30.827
